Country,StateCode,State,County,Flyway,Flock Type,Species,Avian Infuenza Subtype,Confirmation Date,Flock Size
United States,MN,Minnesota,Renville,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-Jun-15,"47,800"
United States,SD,South Dakota,Moody,Central,Commercial,Turkeys,EA/AM-H5N2,1-Jun-15,"52,000"
United States,MN,Minnesota,Brown,Mississippi,Commercial,Turkeys,EA/AM-H5N2,1-Jun-15,"18,300"
United States,IA,Iowa,Calhoun,Mississippi,Commercial,Turkeys,EA/AM-H5N2,2-Jun-15,"13,400"
United States,MN,Minnesota,Blue Earth,Mississippi,Commercial,Turkeys,EA/AM-H5N2,2-Jun-15,"19,400"
United States,MN,Minnesota,Kandiyohi,Mississippi,Commercial,Turkeys,EA/AM-H5N2,3-Jun-15,"37,000"
United States,IA,Iowa,Hamilton,Mississippi,Commercial,Turkeys,EA/AM-H5N2,3-Jun-15,"26,200"
United States,IA,Iowa,Hamilton,Mississippi,Commercial,Turkeys,EA/AM-H5N2,3-Jun-15,"17,200"
United States,IA,Iowa,Clay,Mississippi,Commercial,Chickens,EA/AM-H5N2,3-Jun-15,"1,115,700"
United States,MN,Minnesota,Brown,Mississippi,Commercial,Turkeys,EA/AM-H5N2,3-Jun-15,"15,900"
United States,IA,Iowa,Sac,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-Jun-15,"42,200"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Chickens,EA/AM-H5N2,4-Jun-15,"415,000"
United States,MN,Minnesota,Renville,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-Jun-15,"24,800"
United States,IA,Iowa,Hamilton,Mississippi,Commercial,Turkeys,EA/AM-H5N2,4-Jun-15,"19,600"
